name,services,price,ratings,reviews
Park Plaza Westminster Bridge London,"Pool, Restaurant",€155,4.5 of 5 bubbles,"22,204 reviews"
InterContinental London - The O2,"Pool, Restaurant",€267,4.5 of 5 bubbles,"6,141 reviews"
Park Grand London Kensington,"Free Wifi, Restaurant",€155,4.5 of 5 bubbles,"4,859 reviews"
Amba Hotel Charing Cross,"Free Wifi, Restaurant",€289,5 of 5 bubbles,"5,789 reviews"
Strand Palace,"Free Wifi, Restaurant",€181,4 of 5 bubbles,"14,389 reviews"
"Point A Hotel, London Kings Cross St Pancras",Free Wifi,€108,4 of 5 bubbles,"6,780 reviews"
Montcalm Royal London House - City of London,"Free Wifi, Pool",€302,5 of 5 bubbles,"2,174 reviews"
The Chesterfield Mayfair,"Free Wifi, Restaurant",€164,5 of 5 bubbles,"4,426 reviews"
The Tower Hotel,"Free Wifi, Restaurant",€217,4 of 5 bubbles,"10,415 reviews"
Park Grand Paddington Court,"Free Wifi, Restaurant",€143,4.5 of 5 bubbles,"2,897 reviews"
Good Hotel London,"Free Wifi, Restaurant",€148,4 of 5 bubbles,"1,780 reviews"
K+K Hotel George,"Free Wifi, Restaurant",€203,4.5 of 5 bubbles,"4,862 reviews"
DoubleTree by Hilton Hotel London -Tower of London,"Free Wifi, Restaurant",€269,4.5 of 5 bubbles,"7,229 reviews"
citizenM Tower of London Hotel,"Free Wifi, Restaurant",€148,4.5 of 5 bubbles,"3,752 reviews"
Qbic Hotel London City,"Free Wifi, Restaurant",€143,4.5 of 5 bubbles,"4,867 reviews"
"St. James' Court, A Taj Hotel","Free Wifi, Restaurant",€207,4.5 of 5 bubbles,"5,022 reviews"
Best Western London Peckham Hotel,,€44,3.5 of 5 bubbles,"1,352 reviews"
Danubius Hotel Regents Park,"Free Wifi, Restaurant",€130,4 of 5 bubbles,"1,720 reviews"
The Royal Horseguards,"Free Wifi, Restaurant",€274,4.5 of 5 bubbles,"6,046 reviews"
"Shangri-La Hotel, At The Shard, London","Free Wifi, Pool",€422,4.5 of 5 bubbles,"3,370 reviews"
Grand Royale London Hyde Park,"Free Wifi, Restaurant",€134,4 of 5 bubbles,"5,284 reviews"
The Landmark London,"Free Wifi, Pool",€321,5 of 5 bubbles,231 reviews
The Savoy,"Free Wifi, Pool",€550,4.5 of 5 bubbles,"6,223 reviews"
"The May Fair, A Radisson Collection Hotel","Free Wifi, Restaurant",€308,4 of 5 bubbles,"5,850 reviews"
The Montague on The Gardens,"Free Wifi, Restaurant",€223,5 of 5 bubbles,"5,094 reviews"
The Ritz London,"Free Wifi, Restaurant",€543,4.5 of 5 bubbles,"4,819 reviews"
Studios2Let Serviced Apartments - Cartwright Gardens,Free Wifi,€84,4 of 5 bubbles,"3,048 reviews"
Georgian House Hotel,Free Internet,€166,4.5 of 5 bubbles,"1,065 reviews"
"Club Quarters Hotel, Trafalgar Square","Free Wifi, Restaurant",€162,4 of 5 bubbles,"3,274 reviews"
Sea Containers London,"Free Wifi, Restaurant",€278,4.5 of 5 bubbles,"4,952 reviews"
